Account Owner,Company Name,Billing City,Billing Zip/Postal Code,Account Territory,Reseller,Product Name,Bundle Product,License Name,Status,Buy Price Currency,Buy Price,Quantity,Expiry Date,Sector
Jack Potter,Hallmoor School,Birmingham,B33 0DL,Midlands,Computeam Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,421.5,150.0,11/04/2025,Education
Jack Potter,Siamo Group,Birmingham,B37 7YB,Midlands,AVM IT,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1556.15,160.0,10/04/2026,Business
Jack Potter,Glenmead Primary School,Birmingham,B43 6HR,Midlands,Supportive IT Ltd,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,1247.55,193.0,13/07/2025,Education
Jack Potter,Enpure,Birmingham,B45 9PZ,Midlands,Bechtle,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,56.99,135.0,11/05/2025,Business
Jack Potter,Express Circuits,,B46 1HQ,Midlands,Babble Cloud Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2351.72,105.0,25/05/2026,Business
Joseph Stern,Woodrush Highschool,Wythall,B47 5JW,Midlands,SkunkWorks Managed IT Services Ltd,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,3706.5,360.0,16/07/2025,Education
Jack Potter,TelXL,Birmingham,B48 7EW,Midlands,Softcat Limited,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,3945.94,291.0,24/12/2025,Business
Jack Potter,Bobby's Food Ltd,Bromsgrove,B60 4AD,Midlands,Storm Technologies Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,9171.11,280.0,20/07/2026,Business
Jack Potter,Barton Firtop Engineering Co Ltd,Bromsgrove,B60 4LT,Midlands,Integrity360 Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1666.76,150.0,10/04/2025,Business
Jack Potter,Grovenet - Hayfield Homes,Halesowen,B62 8BF,Midlands,Blue Solutions Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2071.13,150.0,05/04/2025,Business
Jack Potter,Midland Building Products Ltd,Brickhouse Lane,B70 0DH,Midlands,ACUTEC Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1114.55,140.0,21/11/2025,Business
Jack Potter,Adullam Homes Ha,West Bromwich,B70 9LS,Midlands,Integrity360 Limited,ESET Endpoint & Server Security for ESET PROTECT Advanced,ESET PROTECT Advanced,EAV-0120758486,Active,GBP,712.92,250.0,30/01/2026,Business
Jack Potter,KIDS West Midlands,Sutton Coldfield,B72 1EA,Midlands,Integrity360 Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1950.0,200.0,27/10/2025,Business
Jack Potter,Net Lynk Direct Ltd,Minworth,B76 1BA,Midlands,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2204.8,150.0,16/11/2025,Business
Jack Potter,Andrew Wommack Ministries - Europe,Tamworth,B77 4RP,Midlands,Pure Cloud Solutions,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,3096.95,115.0,10/02/2028,Business
Jack Potter,Timing Solutions Ltd,Tamworth,B77 5ES,Midlands,CDW (UK) Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,2370.23,150.0,07/01/2026,Business
Jack Potter,Theorem Solutions,Tamworth,B78 3HU,Midlands,Lane Business Systems Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3037.5,400.0,18/11/2025,Business
Matthew Bower,Amillan,Solihull,B90 4LE,,Probrand Ltd,ESET LiveGuard Advanced for Cloud Office Security,ESET PROTECT Complete,EAV-0461263286,Active,GBP,10.89,108.0,01/12/2025,Business
Jack Potter,Coate Group,Solihull,B91 3LH,Midlands,Shadow Support Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,6051.5,130.0,30/03/2027,Business
Jack Potter,The Right Mortgage,Solihull,B93 0NH,Midlands,Jay Webb Consultancy Services Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,146.63,110.0,24/04/2027,Business
Jack Potter,Mayerton Holdings,Solihull,B94 6NW,Midlands,Jungle I.T,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,2729.81,120.0,24/10/2026,Business
Jack Potter,Ward and Rider Solicitors,Redditch,B98 7LG,Midlands,Lansalot Limited,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,942.67,200.0,21/09/2025,Business
Matthew Bower,Bath Mind,Bath,BA1 1HL,South,DLIT Solutions Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3226.41,140.0,01/09/2026,Business
Matthew Bower,Fidelius,Bath,BA1 2BT,South,Morse Networks Ltd,ESET Endpoint Encryption - Pro,ESET Endpoint Encryption - Pro,FYDMV-4TRF9-AMK3T-KAKFK,Active,GBP,2793.07,163.0,19/01/2038,Business
Matthew Bower,Abel And Imray,Bath,BA1 2DA,South,Zen Computers Ltd,ESET PROTECT Essential,,ESET PROTECT Essential,Active,GBP,5197.96,165.0,17/11/2025,Business
Matthew Bower,Bath Investment Building Society,Bath,BA12HN,South,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1483.18,110.0,23/05/2025,Business
Matthew Bower,Montvieux,Bath,BA1 2PA,South,Integrity360 Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1888.12,150.0,24/11/2025,Business
Matthew Bower,Audience Systems Ltd,Westbury,BA13 4JP,South,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,6230.25,135.0,02/08/2026,Business
Matthew Bower,Roper Rhodes Ltd,Bath,BA1 3JF,South,Westcom Networks (UK) Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,10934.0,220.0,15/04/2027,Business
Matthew Bower,BLB Solictors,Trowbridge,BA14 8DH,South,Priority IT,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,2615.55,106.0,07/06/2025,Business
Matthew Bower,Citizens Advice South Somerset,Yeovil,BA20 1SH,South,Mark One Consultants,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2549.47,110.0,13/04/2026,Business
Matthew Bower,M1C DC,Yeovil,BA20 2NZ,South,Mark One Consultants,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,1697.53,185.0,14/12/2025,Business
Alexis Bush-Walker,Aston and Fincher,,BA20 2SU,South,Millgate Limited,ESET LiveGuard Advanced for Cloud Office Security,ESET PROTECT Complete,EAV-0432925662,Active,GBP,177.38,114.0,07/08/2027,Business
System User UK,Equisoft UK Ltd,Bath,BA23GZ,,Softcat Limited,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,61.88,100.0,13/03/2027,Business
Matthew Bower,Norland College,Bath,BA2 3LB,South,Systemagic,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1473.88,121.0,30/04/2026,Education
Matthew Bower,Saint Gregory's Catholic College,Bath,BA2 8PA,South,Computeam Ltd,SMS for ESET Secure Authentication,,SMS for ESET Secure Authentication,Active,GBP,3.38,100.0,07/01/2027,Business
Matthew Hall,CFH Docmail Ltd,Radstock,BA3 3UP,Midlands,Complete IT Systems Ltd,ESET Secure Authentication,,ESET Secure Authentication,Active,GBP,1892.8,160.0,26/03/2026,Business
Matthew Bower,Burton Sweet,Shepton Mallet,BA4 5QE,South,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1935.38,100.0,14/03/2027,Business
Matthew Hall,Wells Cathedral School,Wells,BA5 2ST,Midlands,Blueloop Limited,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,3750.89,411.0,31/01/2026,Education
Matthew Bower,Wavepower,Glastonbury,BA6 9AB,South,Softcat Limited,ESET PROTECT Essential Plus On-Prem,,ESET PROTECT Essential Plus On-Prem,Active,GBP,4072.25,179.0,14/05/2025,Business
Emmanuel Adjah,TruFrame Trade Frames Ltd.,Burnley,BB11 5TE,North,Holker Network Solutions Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3682.0,200.0,13/12/2025,Business
Emmanuel Adjah,Whatmore UK limited,Burnley,BB12 7NG,North,Holker Network Solutions Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2163.18,120.0,31/05/2026,Business
Emmanuel Adjah,Haydock Finance Ltd,Blackburn,BB1 5QB,North,Chess Cyber Security Ltd,ESET Endpoint Encryption - Pro,ESET Endpoint Encryption - Pro,GPAXH-MJWQN-GWTVD-9VKE6,Active,GBP,2721.6,135.0,31/01/2025,Business
Emmanuel Adjah,Asset Finance Solutions (UK) Ltd,Blackburn,BB1 5QB,North,Nybble,ESET Endpoint Encryption - Pro,ESET Endpoint Encryption - Pro,ENJ7T-YP6CX-P3V3G-REPVW,Active,GBP,6033.69,382.0,28/01/2026,Business
Emmanuel Adjah,Broughton Nicotine Services,Earby,BB18 6JZ,North,Cosurica Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1742.12,115.0,07/02/2026,Business
Emmanuel Adjah,Cavalier Carpets Ltd,Blackburn,BB2 1TX,North,Z Cyber Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3806.25,130.0,31/08/2027,Business
James Conville,Woodhouse Grove,Bradford,BD10 0NR,North,BSL-IT Ltd,ESET PROTECT Advanced On-Prem,,ESET PROTECT Advanced On-Prem,Active,GBP,424.26,145.0,21/10/2025,Education
Emmanuel Adjah,Webbs Garden Centres Limited,Bingley,BD16 1PY,North,Business I.T Support Team Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,4771.76,267.0,13/01/2026,Business
Emmanuel Adjah,HC Slingsby Plc,Bradford,BD17 7LW,North,Ripple Technology Solutions Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,1865.33,110.0,10/05/2025,Business
Emmanuel Adjah,B-Sporting,Shipley,BD18 1QG,North,OPAL IT Limited T/A inTEC Business,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2378.57,169.0,13/06/2025,Business
Emmanuel Adjah,Flexiform Business Furniture,Bradford,BD3 7AE,North,Westcom Networks (UK) Ltd,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,2862.01,107.0,20/03/2026,Business
Emmanuel Adjah,Loyalty Logistix Ltd,Bradford,BD3 7AY,North,Complete IT Systems Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2727.51,125.0,06/07/2026,Business
Emmanuel Adjah,Argonon,Bradford,BD3 7AY,North,Complete IT Systems Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,5746.0,400.0,09/10/2025,Business
Alexis Bush-Walker,Prestigious Textiles Limited,Bradford,BD40SG,North,Erud IT Limited,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,344.11,160.0,30/01/2025,Business
Emmanuel Adjah,Spellman Walker,Bradford,BD5HSU,North,Brighouse Computer Centre,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1701.7,100.0,08/02/2026,Business
Emmanuel Adjah,Iqra Academy,Bradford,BD8 8DA,North,Jungle I.T,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1739.4,300.0,26/11/2025,Education
Matthew Bower,Kingsleigh Primary School,Bournemouth,BH10 5HT,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2629.2,140.0,08/09/2027,Education
Matthew Bower,The Quay School,Poole,BH12 4HU,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1382.06,175.0,14/02/2026,Education
Matthew Bower,Courthill Infant School,Parkstone,BH14 9HL,South,Agile ICT Limited,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,775.58,114.0,24/03/2025,Education
Matthew Bower,NMS International Group,Poole,BH15 2JH,South,Galactech,ESET PROTECT Advanced On-Prem,,ESET PROTECT Advanced On-Prem,Active,GBP,2219.06,150.0,15/04/2025,Business
Matthew Bower,Oakdale South Road Middle School,Poole,BH15 3JR,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1232.4,156.0,14/02/2025,Education
Matthew Bower,Yarrells Prep School,poole,BH16 5EU,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2896.5,150.0,15/12/2027,Education
Matthew Bower,Poole Lighting Ltd,Poole,BH17 7BY,South,Misco Technologies Limited T/a Misco,ESET PROTECT Enterprise,,ESET PROTECT Enterprise,Active,GBP,5101.36,310.0,11/09/2025,Business
Matthew Bower,Yunex Limited,Poole,BH17 7ER,South,CDW (UK) Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1218.02,100.0,03/12/2025,Business
Matthew Bower,Montacute School,Poole,BH17 9NG,South,Azera Technology Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,4284.0,100.0,18/08/2027,Education
Matthew Bower,Humphries Kirk,Wareham,Bh20 4an,South,Prime and Modern LTD,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2309.73,200.0,29/12/2025,Business
Matthew Bower,Coastal Learning Partnership,Wareham,BH20 4PG,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1674.05,160.0,15/04/2025,Education
Matthew Bower,Butterfly Conservation,Wareham,BH20 5QP,South,Blueloop Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1933.05,140.0,27/02/2026,Business
Matthew Bower,Wimborne First,Wimborne,BH21 1HQ,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1421.69,132.0,15/04/2025,Education
Matthew Bower,Marden Edwards Limited,Wimborne,BH21 7SH,South,Z Cyber Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2550.0,160.0,13/10/2025,Business
Matthew Bower,Christchurch Infants,Christchurch,BH23 2AE,South,Insight Direct (UK) Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,407.81,145.0,15/04/2025,Education
Matthew Bower,D. Stewart & Son,Christchurch,BH23 4SA,South,Redpalm Technology Services,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,4036.5,150.0,30/06/2025,Business
Matthew Bower,Highcliffe St Marks Primary,Christchurch,BH23 5AZ,South,Insight Direct (UK) Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,495.0,120.0,14/04/2025,Education
Matthew Bower,Fulcrum Data Systems Ltd,Christchurch,BH23 6NW,South,Fulcrum Data Systems LTD,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3629.4,230.0,24/05/2025,Business
Matthew Bower,Avon Tyrrell and UK Youth,CHRISTCHURCH,BH23 7BG,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1810.82,170.0,08/02/2026,Business
Matthew Bower,Bransgore School,Christchurch,BH23 8JH,South,Oakford Technology Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1190.7,140.0,05/02/2026,Education
Matthew Bower,Tiger Communications,Ringwood,BH24 1DH,South,CCS Media Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3074.5,100.0,29/07/2026,Business
Matthew Bower,Ringwood Junior School,Ringwood,BH24 1NH,South,Agile ICT Limited,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,1496.66,156.0,28/10/2025,Education
Matthew Bower,Milewood Healthcare,Ringwood,BH24 3PB,South,Target IT Services (Bournemouth),ESET Endpoint Encryption - Pro,ESET Endpoint Encryption - Pro,AKV7P-VVQJM-JYN9G-4E3AW,Active,GBP,12.48,170.0,28/08/2025,Business
Matthew Bower,Trusted Technology Partnership,Ringwood,BH24 3SB,South,Integrity360 Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2111.23,130.0,11/05/2025,Business
Darren Roberts,New Milton Junior School,Hampshire,BH25 6DS,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,2826.92,114.0,15/05/2027,Education
Matthew Bower,Daishs Group Ltd,Bournemouth,BH2 5HR,South,Vizst Technology,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3660.85,130.0,19/08/2026,Business
Matthew Bower,St Michael's CE Junior School,Bournemouth,BH2 5LH,South,Agile ICT Limited,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1437.35,182.0,06/02/2026,Education
Matthew Bower,St Michael's Primary School,Bournemouth,BH2 5LH,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1476.83,187.0,07/08/2025,Education
Matthew Bower,AFC Bournemouth,Bournemouth,BH7 7AF,South,,ESET PROTECT Elite,,ESET PROTECT Elite,Active,GBP,21205.8,350.0,07/02/2026,Business
Matthew Bower,Muscliff Primary School,Bournemouth,BH8 0AB,South,PSDL Ltd T/a CCC & SchoolCare,ESET Endpoint & Server Security for ESET PROTECT Advanced,ESET PROTECT Advanced,EAV-0204745844,Active,GBP,255.56,110.0,18/10/2025,Education
Matthew Bower,Mark James,Bournemouth,BH8 8AQ,South,,ESET PROTECT Enterprise,,ESET PROTECT Enterprise,Active,GBP,1250.0,100.0,19/06/2026,Business
Matthew Bower,Rolleston Primary School,Bournemouth,BH8 9RP,South,PORT - P LIMITED,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2755.52,120.0,30/05/2026,Education
Matthew Bower,Sparkenhoe Community Primary School,Bournemouth,BH8 9RP,South,PORT - P LIMITED,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1755.68,170.0,07/02/2026,Education
Matthew Bower,Medway Community Primary School,Bournemouth,BH8 9RP,South,PORT - P LIMITED,ESET LiveGuard Advanced for Endpoint Security + Server Security,ESET PROTECT Advanced,EAV-0396506654,Active,GBP,826.74,190.0,26/06/2026,Education
Matthew Bower,Moorlands Primary School,Bournemouth,BH8 9RP,South,Trustmarque Solutions Ltd,ESET PROTECT Advanced On-Prem,,ESET PROTECT Advanced On-Prem,Active,GBP,2658.91,250.0,15/03/2026,Education
Matthew Bower,Moordown St Johns School,Bournemouth,BH9 2SA,South,PSDL Ltd T/a CCC & SchoolCare,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3774.75,200.0,26/05/2027,Education
Emmanuel Adjah,BD Elite,Bolton,BL1 4AG,North,Millgate Limited,ESET PROTECT Elite,,ESET PROTECT Elite,Active,GBP,390.49,110.0,29/08/2025,Business
Emmanuel Adjah,Clifton Trade,bolton,BL2 6PT,North,Adaptive Communications Solutions Ltd T/A Adaptive,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,41.72,271.0,27/02/2026,Business
Emmanuel Adjah,YMCA England,Bolton,BL31NA,North,NIRVANA INTELLIGENT SYSTEMS LTD,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,1476.75,110.0,20/02/2026,Business
Emmanuel Adjah,Bid Group Limited,Bolton,BL5 3XE,North,ACS TECHNOLOGY GROUP LTD,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3412.4,120.0,26/07/2026,Business
Hayley Loader,Gorgemead Ltd,Bolton,BL6 4SA,North,Softcat Limited,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,3900.0,301.0,30/08/2025,Business
Emmanuel Adjah,Top Cash Back,Bolton,BL66PE,North,Grey Matter Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,11342.24,380.0,04/04/2028,Business
Emmanuel Adjah,Imagine Act and Succeed,Bolton,BL6 7JH,North,Cloud Clever Ltd,ESET Secure Authentication,,EAV-81317474,Active,GBP,1492.4,100.0,07/06/2026,Business
Emmanuel Adjah,Westgrove Cleaning Services,Bolton,BL6 7JH,North,Cloud Clever Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2376.21,139.0,28/09/2025,Business
Emmanuel Adjah,Woodbank Primary School,Bury,BL8 1AX,North,Phoenix Software Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,947.0,100.0,29/10/2025,Education
Emmanuel Adjah,St Stephen?s C.E Primary School,Bury,bl8 2dx,North,Apex Network Solutions Limited,ESET PROTECT Entry On-Prem,,ESET PROTECT Entry On-Prem,Active,GBP,1524.84,131.0,27/03/2026,Education
Emmanuel Adjah,Christ Church CofE Multi Academy Trust,Bury,BL8 3AX,North,Computeam Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,385.94,125.0,17/05/2025,Education
Emmanuel Adjah,Holly Mount RC Primary School,Bury,BL8 4HS,North,Computeam Ltd,ESET Endpoint Antivirus + ESET Server Security,ESET PROTECT Essential On-Prem,EAV-0169479318,Active,GBP,947.7,120.0,14/09/2025,Education
Emmanuel Adjah,Chesham Primary School,Bury,BL9 6PH,North,Holker Network Solutions Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,1072.5,100.0,15/07/2025,Education
Alexander Stoyanov,Avoira Ltd,Bury,BL9 6YA,North,Avoira Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,750.0,250.0,31/05/2026,Business
Matthew Bower,Bennett Griffin,WORTHING,BN11 1TF,South,CCS Media Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,177.68,112.0,20/11/2027,Business
Matthew Bower,South Downs National Park Authority,Brighton,BN1 1JE,South,Sota Solutions Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1878.74,157.0,30/06/2025,Business
Daniel Downer,Deans Wilson Laing,Brighton,BN1 1UJ,South,Claranet,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,648.0,220.0,20/01/2025,Business
Jade Sessions,ECE Architecture,Worthing,,BN12 4AP,South,Trident Professional IT Services Limited,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,2543.63,140.0,24/01/2025,Business
Matthew Bower,St. Oscar romero School,Worthing,BN12 5AF,South,Opendium Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3289.6,400.0,04/08/2025,Education
Matthew Bower,Coastal West Sussex Mind,Worthing,BN13 2QG,South,Fenton I.T Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,3363.63,155.0,18/04/2026,Business
Matthew Bower,1x2gaming,Brighton,BN1 3XE,South,Extech,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,210.4,110.0,08/09/2025,Business
Matthew Bower,Higher Ed Partners Tech Services,Brighton,BN1 3XF,South,Them Digital Assistance Ltd,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,2666.82,156.0,28/03/2026,Business
Matthew Bower,Broadwater C of E Primary School,Worthing,BN14 7TQ,South,JSPC Computer Services,ESET Endpoint Antivirus + ESET Server Security,ESET PROTECT Essential On-Prem,EAV-0267363653,Active,GBP,1026.68,130.0,12/01/2026,Education
